name,position,type,appearances,rating,goals,assists,totalShots,shotsOnTarget,accuratePasses,keyPasses,accurateLongBalls,successfulDribbles,tackles,interceptions
Kevin De Bruyne,M,overall,4,8.2,1,1,14,3,239,16,12,4,2,2
Erling Haaland,F,overall,8,7.8625,10,,35,23,52,5,,5,2,1
Joško Gvardiol,D,overall,8,7.6375,2,,10,6,511,6,11,5,15,10
Savinho,M,overall,6,7.55,,2,11,3,179,11,2,11,11,
Mateo Kovačić,M,overall,8,7.45,3,,13,3,518,9,10,9,16,2
Jack Grealish,M,overall,7,7.3428571428571,,1,7,2,168,15,6,8,5,
Bernardo Silva,M,overall,8,7.325,,3,15,5,330,20,4,8,7,2
Jérémy Doku,F,overall,7,7.3,1,1,9,2,166,8,1,22,8,
Matheus Nunes,M,overall,5,7.2,,1,1,,17,1,,2,1,
Manuel Akanji,D,overall,7,7.2,,,4,,569,5,19,1,5,3
İlkay Gündoğan,M,overall,7,7.1571428571429,,,11,2,286,13,7,5,4,2
Rúben Dias,D,overall,8,7.1375,,,10,2,647,3,22,,5,10
Rico Lewis,M,overall,7,7.1142857142857,,2,4,,281,4,7,2,15,6
Phil Foden,M,overall,5,7.1,,1,6,1,110,6,2,2,,2
Rodri,M,overall,2,7.1,,,,,57,1,5,,2,1
John Stones,D,overall,5,6.98,2,,2,2,144,,5,,3,1
Kyle Walker,D,overall,5,6.98,,,5,2,214,4,8,1,4,1
Ederson,G,overall,8,6.8,,1,,,202,1,,,,1
Nathan Aké,D,overall,1,6.8,,,,,4,,,,1,1
James McAtee,M,overall,1,,,,,,4,,,,,
